"","Model","df","logLik","AIC","AICw","AICc","AICcw","BIC"
"73","TIM3",25,-1351.30600231495,2752.6120046299,0.0179784584775586,2754.16331727906,0.0180402963427964,2871.65132385
"74","TIM3+I",26,-1350.55738459998,2753.11476919996,0.0139822966571214,2754.7921885548,0.0131730398268682,2876.91566118887
"75","TIM3+G(4)",26,-1350.5689456987,2753.13789139741,0.013821576784393,2754.81531075225,0.0130216219778311,2876.93878338631
"76","TIM3+G(4)+I",27,-1350.55661727427,2755.11323454854,0.00514774796480981,2756.92184698873,0.0045418893717031,2883.67569930625
"77","TVMe",23,-1380.19770151615,2806.39540303229,3.76561468814179e-14,2807.70968874658,4.25399367806264e-14,2915.91157671479
"78","TVMe+I",24,-1379.45058660344,2806.90117320688,2.92421487080034e-14,2808.33144734276,3.11733644153169e-14,2921.17891965818
"79","TVMe+G(4)",24,-1379.4802274356,2806.9604548712,2.8388106869282e-14,2808.39072900708,3.02629197783569e-14,2921.2382013225
"80","TVMe+G(4)+I",25,-1379.45803663406,2808.91607326811,1.06777387842349e-14,2810.46738591728,1.07144654353439e-14,2927.95539248821
"81","TVM",26,-1350.77785698822,2753.55571397645,0.0112157564629598,2755.23313333128,0.0105666193614748,2877.35660596535
"82","TVM+I",27,-1349.91325896847,2753.82651793694,0.00979544651577354,2755.63513037713,0.00864258210099098,2882.38898269465
"83","TVM+G(4)",27,-1349.97648043646,2753.95296087293,0.00919533388018643,2755.76157331312,0.00811309906879312,2882.51542563064
"84","TVM+G(4)+I",28,-1349.92642728012,2755.85285456023,0.00355640187614208,2757.79776473987,0.00293111885255617,2889.17689208675
"85","SYM",24,-1380.12812531975,2808.2562506395,1.48510771964525e-14,2809.68652477537,1.58318749428392e-14,2922.5339970908
"86","SYM+I",25,-1379.39758457564,2808.79516915128,1.13431398785735e-14,2810.34648180044,1.13821552121774e-14,2927.83448837138
"87","SYM+G(4)",25,-1379.40667630037,2808.81335260074,1.12404785645786e-14,2810.3646652499,1.12791407891265e-14,2927.85267182084
"88","SYM+G(4)+I",26,-1379.40227452707,2810.80454905413,4.15338304525743e-15,2812.48196840897,3.91299667094026e-15,2934.60544104304
"89","GTR",27,-1349.80760982166,2753.61521964332,0.0108869713276293,2755.42383208351,0.00960564108830118,2882.17768440103
"90","GTR+I",28,-1349.07679276771,2754.15358553543,0.00831768388779475,2756.09849571507,0.00685527701935783,2887.47762306194
"91","GTR+G(4)",28,-1349.12122423682,2754.24244847365,0.00795620691520852,2756.18735865329,0.00655735456683068,2887.56648600016
"92","GTR+G(4)+I",29,-1349.11087563882,2756.22175127764,0.00295737179287323,2758.30808221289,0.00227101183522318,2894.30736157296
